"Order","Colour"
"Archaea | Crenarchaeota | Bathyarchaeia | Unclassified","#00FF7C"
"Archaea | Asgardarchaeota | Lokiarchaeia | Unclassified","#00FF81"
"Archaea | Halobacterota | Halobacteria | Halobacterales","#00FF86"
"Archaea | Halobacterota | Methanosarcinia | Methanosarciniales","#00FF8B"
"Archaea | Thermoplasmatota | Thermoplasmata | Marine Group II","#00FF90"
"Archaea | Thermoplasmatota | Thermoplasmata | Marine Group III","#00FF95"
"Archaea | Unclassified | Unclassified | Unclassified","#00FF9A"
"Bacteria | Marinimicrobia (SAR406 clade) | Unclassified | Unclassified","#00FF9F"
"Bacteria | Armatimonadota | Fimbriimonadia | Fimbriimonadales","#00FFA4"
"Bacteria | Chloroflexi | Dehalococcoidia | SAR202 clade","#00FFA9"
"Bacteria | Verrucomicrobiota | Lentisphaeria | Victivallales","#00FFAE"
"Bacteria | Verrucomicrobiota | Lentisphaeria | Unclassified","#00FFB4"
"Bacteria | Verrucomicrobiota | Lentisphaeria | SS1-B-02-17","#00FFB9"
"Bacteria | Verrucomicrobiota | Lentisphaeria | P.palmC41","#00FFBE"
"Bacteria | Verrucomicrobiota | Lentisphaeria | Oligosphaerales","#00FFC3"
"Bacteria | Verrucomicrobiota | Unclassified | Unclassified","#00FFC8"
"Bacteria | Verrucomicrobiota | Lentisphaeria | Lentisphaerales","#00FFCD"
"Bacteria | Elusimicrobiota | Lineage IIb | Unclassified","#00FFD2"
"Bacteria | Elusimicrobiota | Elusimicrobia | Lineage IV","#00FFD7"
"Bacteria | Firmicutes | Bacilli | Acholeplasmatales","#00FFDC"
"Bacteria | Firmicutes | Bacilli | Mycoplasmatales","#00FFE1"
"Bacteria | Firmicutes | Bacilli | Entomoplasmatales","#00FFE6"
"Bacteria | Fusobacteriota | Fusobacteriia | Fusobacteriales","#00FFEB"
"Bacteria | Dependentiae | Babeliae | Babeliales","#00FFF0"
"Bacteria | Bacteroidota | Bacteroidia | Bacteroidales","#00FFF5"
"Bacteria | Bacteroidota | Bacteroidia | Unclassified","#00FFFA"
"Bacteria | Planctomycetota | vadinHA49 | Unclassified","#00FFFF"
"Bacteria | Actinobacteriota | WCHB1-81 | Unclassified","#00FAFF"
"Bacteria | PAUC34f | Unclassified | Unclassified","#00F5FF"
"Bacteria | AncK6 | Unclassified | Unclassified","#00F0FF"
"Bacteria | Poribacteria | Unclassified | Unclassified","#00EBFF"
"Bacteria | Spirochaetota | V2072-189E03 | Unclassified","#00E6FF"
"Bacteria | Spirochaetota | Leptospirae | Leptospirales","#00E1FF"
"Bacteria | Firmicutes | Clostridia | Oscillospirales","#00DCFF"
"Bacteria | Fibrobacterota | Fibrobacteria | Fibrobacterales","#00D7FF"
"Bacteria | Bacteroidota | Rhodothermia | Rhodothermales","#00D2FF"
"Bacteria | Bacteroidota | Rhodothermia | Balneolales","#00CDFF"
"Bacteria | Bacteroidota | Bacteroidia | Cytophagales","#00C8FF"
"Bacteria | Bacteroidota | Bacteroidia | Chitinophagales","#00C3FF"
"Bacteria | Bacteroidota | Bacteroidia | Sphingobacteriales","#00BEFF"
"Bacteria | Bacteroidota | Bacteroidia | Flavobacteriales","#00B9FF"
"Bacteria | Bacteroidota | Bacteroidia | Bacteroidetes VC2.1 Bac22","#00B4FF"
"Bacteria | Latescibacterota | Unclassified | Unclassified","#00AEFF"
"Bacteria | Bacteroidota | Kapabacteria | Kapabacteriales","#00A9FF"
"Bacteria | Bacteroidota | Unclassified | Unclassified","#00A4FF"
"Bacteria | Bacteroidota | Ignavibacteria | Ignavibacteriales","#009FFF"
"Bacteria | WPS-2 | Unclassified | Unclassified","#009AFF"
"Bacteria | Firmicutes | Clostridia | Peptostreptococcales-Tissierellales","#0095FF"
"Bacteria | Firmicutes | Clostridia | Lachnospirales","#0090FF"
"Bacteria | Planctomycetota | BD7-11 | Unclassified","#008BFF"
"Bacteria | Planctomycetota | Unclassified | Unclassified","#0086FF"
"Bacteria | Planctomycetota | SGST604 | Unclassified","#0081FF"
"Bacteria | Verrucomicrobiota | Verrucomicrobiae | Verrucomicrobiales","#007CFF"
"Bacteria | Verrucomicrobiota | Verrucomicrobiae | Chthoniobacterales","#0077FF"
"Bacteria | Verrucomicrobiota | Verrucomicrobiae | Unclassified","#0072FF"
"Bacteria | Verrucomicrobiota | Verrucomicrobiae | Pedosphaerales","#006DFF"
"Bacteria | Verrucomicrobiota | Verrucomicrobiae | Arctic97B-4 marine group","#0068FF"
"Bacteria | Verrucomicrobiota | Verrucomicrobiae | Methylacidiphilales","#0063FF"
"Bacteria | Verrucomicrobiota | Kiritimatiellae | WCHB1-41","#005EFF"
"Bacteria | Verrucomicrobiota | Kiritimatiellae | Kiritimatiellales","#0059FF"
"Bacteria | Verrucomicrobiota | Omnitrophia | Unclassified","#0054FF"
"Bacteria | Nitrospinota | Nitrospinia | Nitrospinales","#004FFF"
"Bacteria | Actinobacteriota | Acidimicrobiia | Microtrichales","#004AFF"
"Bacteria | Actinobacteriota | Acidimicrobiia | Unclassified","#0045FF"
"Bacteria | Actinobacteriota | Unclassified | Unclassified","#0040FF"
"Bacteria | Actinobacteriota | Acidimicrobiia | IMCC26256","#003BFF"
"Bacteria | Actinobacteriota | Actinobacteria | Corynebacteriales","#0036FF"
"Bacteria | Actinobacteriota | Actinobacteria | Bifidobacteriales","#0031FF"
"Bacteria | Actinobacteriota | Actinobacteria | Unclassified","#002CFF"
"Bacteria | Actinobacteriota | Actinobacteria | PeM15","#0027FF"
"Bacteria | Actinobacteriota | Actinobacteria | Frankiales","#0022FF"
"Bacteria | Actinobacteriota | Acidimicrobiia | Actinomarinales","#001DFF"
"Bacteria | Acetothermia | Acetothermiia | Unclassified","#0017FF"
"Bacteria | Deinococcota | Deinococci | Thermales","#0012FF"
"Bacteria | Deinococcota | Deinococci | Deinococcales","#000DFF"
"Bacteria | Gemmatimonadota | BD2-11 terrestrial group | Unclassified","#0008FF"
"Bacteria | Gemmatimonadota | PAUC43f marine benthic group | Unclassified","#0003FF"
"Bacteria | Gemmatimonadota | Gemmatimonadetes | Gemmatimonadales","#0200FF"
"Bacteria | Planctomycetota | OM190 | Unclassified","#0700FF"
"Bacteria | Planctomycetota | Planctomycetes | Planctomycetales","#0C00FF"
"Bacteria | Planctomycetota | Planctomycetes | Pirellulales","#1100FF"
"Bacteria | Planctomycetota | Planctomycetes | Gemmatales","#1600FF"
"Bacteria | Planctomycetota | Planctomycetes | Isosphaerales","#1B00FF"
"Bacteria | Planctomycetota | Planctomycetes | Unclassified","#2000FF"
"Bacteria | Planctomycetota | Pla4 lineage | Unclassified","#2500FF"
"Bacteria | Planctomycetota | Pla3 lineage | Unclassified","#2A00FF"
"Bacteria | Planctomycetota | 028H05-P-BN-P5 | Unclassified","#2F00FF"
"Bacteria | Planctomycetota | Phycisphaerae | MSBL9","#3400FF"
"Bacteria | Planctomycetota | Phycisphaerae | CCM11a","#3900FF"
"Bacteria | Planctomycetota | Phycisphaerae | C86","#3E00FF"
"Bacteria | Planctomycetota | Phycisphaerae | mle1-8","#4300FF"
"Bacteria | Planctomycetota | Phycisphaerae | S-70","#4800FF"
"Bacteria | Planctomycetota | Phycisphaerae | Phycisphaerales","#4D00FF"
"Bacteria | Planctomycetota | Phycisphaerae | Unclassified","#5200FF"
"Bacteria | Aquificota | Aquificae | Aquificales","#5700FF"
"Bacteria | Acidobacteriota | Vicinamibacteria | Vicinamibacterales","#5C00FF"
"Bacteria | Acidobacteriota | Subgroup 26 | Unclassified","#6100FF"
"Bacteria | Bacteroidota | Kryptonia | Kryptoniales","#6600FF"
"Bacteria | Acidobacteriota | Aminicenantia | Aminicenantales","#6B00FF"
"Bacteria | Firmicutes | Dethiobacteria | Dethiobacterales","#7000FF"
"Bacteria | Chloroflexi | KD4-96 | Unclassified","#7500FF"
"Bacteria | Chloroflexi | Anaerolineae | Ardenticatenales","#7A00FF"
"Bacteria | Chloroflexi | Anaerolineae | Anaerolineales","#8000FF"
"Bacteria | Chloroflexi | Anaerolineae | SBR1031","#8500FF"
"Bacteria | Chloroflexi | Anaerolineae | Unclassified","#8A00FF"
"Bacteria | Patescibacteria | Berkelbacteria | Unclassified","#8F00FF"
"Bacteria | Chloroflexi | Unclassified | Unclassified","#9400FF"
"Bacteria | Chloroflexi | TK10 | Unclassified","#9900FF"
"Bacteria | Chloroflexi | TK30 | Unclassified","#9E00FF"
"Bacteria | Chloroflexi | JG30-KF-CM66 | Unclassified","#A300FF"
"Bacteria | Chloroflexi | TK17 | Unclassified","#A800FF"
"Bacteria | Chloroflexi | Dehalococcoidia | S085","#AD00FF"
"Bacteria | Chloroflexi | Chloroflexia | Thermomicrobiales","#B200FF"
"Bacteria | Chloroflexi | Anaerolineae | Caldilineales","#B700FF"
"Bacteria | Chloroflexi | Chloroflexia | Kallotenuales","#BC00FF"
"Bacteria | Fervidibacteria | Unclassified | Unclassified","#C100FF"
"Bacteria | Caldatribacteriota | Caldatribacteriia | Caldatribacteriales","#C600FF"
"Bacteria | Chloroflexi | Anaerolineae | Thermoflexales","#CB00FF"
"Bacteria | Acidobacteriota | Subgroup 22 | Unclassified","#D000FF"
"Bacteria | Nitrospinota | P9X2b3D02 | Unclassified","#D500FF"
"Bacteria | Schekmanbacteria | Unclassified | Unclassified","#DA00FF"
"Bacteria | Actinobacteriota | Thermoleophilia | Gaiellales","#DF00FF"
"Bacteria | Actinobacteriota | Thermoleophilia | Thermophilales","#E400FF"
"Bacteria | Actinobacteriota | Rubrobacteria | Rubrobacterales","#E900FF"
"Bacteria | Firmicutes | Negativicutes | Veillonellales-Selenomonadales","#EE00FF"
"Bacteria | Acidobacteriota | AT-s3-28 | Unclassified","#F300FF"
"Bacteria | Acidobacteriota | Vicinamibacteria | Subgroup 9","#F800FF"
"Bacteria | Acidobacteriota | Vicinamibacteria | Subgroup 17","#FD00FF"
"Bacteria | Acidobacteriota | Subgroup 21 | Unclassified","#FF00FC"
"Bacteria | Zixibacteria | Unclassified | Unclassified","#FF00F7"
"Bacteria | Latescibacterota | Latescibacteria | Latescibacterales","#FF00F2"
"Bacteria | Sumerlaeota | Sumerlaeia | Sumerlaeales","#FF00ED"
"Bacteria | Entotheonellaeota | Entotheonellia | Entotheonellales","#FF00E8"
"Bacteria | Calditrichota | Calditrichia | Calditrichales","#FF00E2"
"Bacteria | Nitrospirota | Thermodesulfovibrionia | Thermodesulfovibrionales","#FF00DD"
"Bacteria | Nitrospirota | Thermodesulfovibrionia | Unclassified","#FF00D8"
"Bacteria | Nitrospirota | Nitrospiria | Nitrospirales","#FF00D3"
"Bacteria | Acidobacteriota | Acidobacteriae | PAUC26f","#FF00CE"
"Bacteria | Firmicutes | Thermoanaerobacteria | Caldicellulosiruptorales","#FF00C9"
"Bacteria | Acidobacteriota | Subgroup 11 | Unclassified","#FF00C4"
"Bacteria | Sva0485 | Unclassified | Unclassified","#FF00BF"
"Bacteria | Proteobacteria | Gammaproteobacteria | Burkholderiales","#FF00BA"
"Bacteria | Firmicutes | Clostridia | Clostridiales","#FF00B5"
"Bacteria | Firmicutes | Clostridia | Clostridia vadinBB60 group","#FF00B0"
"Bacteria | Firmicutes | Desulfotomaculia | Desulfotomaculales","#FF00AB"
"Bacteria | Firmicutes | Clostridia | Unclassified","#FF00A6"
"Bacteria | Verrucomicrobiota | Chlamydiae | Chlamydiales","#FF00A1"
"Bacteria | Acidobacteriota | Blastocatellia | Blastocatellales","#FF009C"
"Bacteria | Acidobacteriota | Holophagae | Acanthopleuribacterales","#FF0097"
"Bacteria | Actinobacteriota | Coriobacteriia | OPB41","#FF0092"
"Bacteria | Proteobacteria | Gammaproteobacteria | Coxiellales","#FF008D"
"Bacteria | Proteobacteria | Gammaproteobacteria | Thiotrichales","#FF0088"
"Bacteria | Proteobacteria | Gammaproteobacteria | Methylococcales","#FF0083"
"Bacteria | Proteobacteria | Gammaproteobacteria | Enterobacterales","#FF007E"
"Bacteria | Proteobacteria | Gammaproteobacteria | HglApr721","#FF0079"
"Bacteria | Proteobacteria | Gammaproteobacteria | BD72BR169","#FF0074"
"Bacteria | Proteobacteria | Gammaproteobacteria | EC3","#FF006F"
"Bacteria | Proteobacteria | Gammaproteobacteria | F9P41300-M23","#FF006A"
"Bacteria | Proteobacteria | Gammaproteobacteria | Legionellales","#FF0065"
"Bacteria | Proteobacteria | Gammaproteobacteria | Piscirickettsiales","#FF0060"
"Bacteria | Proteobacteria | Gammaproteobacteria | Francisellales","#FF005B"
"Bacteria | Proteobacteria | Gammaproteobacteria | Diplorickettsiales","#FF0056"
"Bacteria | Proteobacteria | Gammaproteobacteria | MD2904-B13","#FF0051"
"Bacteria | Proteobacteria | Gammaproteobacteria | EV818SWSAP88","#FF004B"
"Bacteria | Proteobacteria | Gammaproteobacteria | Thiomicrospirales","#FF0046"
"Bacteria | Proteobacteria | Gammaproteobacteria | EPR3968-O8a-Bc78","#FF0041"
"Bacteria | Proteobacteria | Gammaproteobacteria | JTB23","#FF003C"
"Bacteria | Proteobacteria | Gammaproteobacteria | SS1-B-07-19","#FF0037"
"Bacteria | Proteobacteria | Gammaproteobacteria | UBA4486","#FF0032"
"Bacteria | Proteobacteria | Gammaproteobacteria | Steroidobacterales","#FF002D"
"Bacteria | Proteobacteria | Gammaproteobacteria | AT-s2-59","#FF0028"
"Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales","#FF0023"
"Bacteria | Proteobacteria | Gammaproteobacteria | Chromatiales","#FF001E"
"Bacteria | Proteobacteria | Gammaproteobacteria | D90","#FF0019"
"Bacteria | Proteobacteria | Gammaproteobacteria | Tenderiales","#FF0014"
"Bacteria | Modulibacteria | Moduliflexia | Moduliflexales","#FF000F"
"Bacteria | Proteobacteria | Gammaproteobacteria | Salinisphaerales","#FF000A"
"Bacteria | Proteobacteria | Gammaproteobacteria | BD7-8","#FF0005"
"Other","grey80"
