"Sample","PC1","PC2","PC3","Sample.y","Clade"
"GW3487",0.590779234331017,0.174727586650605,0.110898467662115,"GW3487","G17"
"GW3488",0.0303593578333479,-0.163750719039636,-0.17270881211684,"GW3488","G13"
"GW3490",-0.00882150690965583,-0.0733652499390021,-0.318674500762024,"GW3490","G19"
"GW3491",0.604215252231981,0.172274819056873,0.12288053350327,"GW3491","G17"
"GW3496",0.0114048171318038,-0.322352491528763,-0.0189773418133288,"GW3496","G20"
"GW3523",-0.197041299713586,0.117298187713896,-0.0232866320758216,"GW3523","G11"
"GW3528",0.523496559865068,0.0241203337451234,0.0563091352003249,"GW3528","G17"
"GW3543",0.530577374649974,0.161857500464968,0.0462804311568888,"GW3543","G17"
"GW3574",-0.0156140113920967,-0.0565163068836506,-0.364526321177475,"GW3574","G19"
"GW3576",-0.0848431016795651,0.0216628723808886,-0.319003735586752,"GW3576","G02"
"GW3582",-0.0456430228580916,-0.0274658452453534,-0.346661324998266,"GW3582","G02"
"GW4082",-0.0079630620839485,-0.472171802505003,0.187890651352259,"GW4082","G12"
"GW4094",-0.320344320555272,0.240120162025093,0.116704714823177,"GW4094","G03"
"GW4109",-0.188395798442442,0.127706476339667,0.0168141544340961,"GW4109","G16"
"GW4146",0.272801062469554,0.214032745810886,0.18120479699264,"GW4146","G16"
"GW4147",0.197031145874626,0.293088588884768,0.236873512126466,"GW4147","G15"
"GW4187",-0.0101094206034226,0.25285398399967,0.157181133899405,"GW4187","G16"
"GW4191",-0.00593010659369318,-0.511707037567055,0.209076269550237,"GW4191","G12"
"GW4193",0.00666367474480828,-0.345754439389187,-0.0259831737359712,"GW4193","G01"
"GW4194",0.00753041681508918,-0.337773169977515,-0.0172134513723289,"GW4194","G01"
"GW4229",-0.314618455950472,0.165606907197477,0.139707643287832,"GW4229","G04"
"GW4246",0.140519625552206,0.330545447407122,0.233590664967643,"GW4246","G16"
"GW4249",0.20888189660729,0.274009999890972,0.192327322931619,"GW4249","G16"
"GW4253",-0.0200952276719941,0.278001338124885,0.137611964172282,"GW4253","G16"
"GW4283",-0.00544687468623588,-0.319616231226776,-0.0155410777977708,"GW4283","G01"
"GW4284",-0.0110044507906068,-0.534883825107196,0.23597837646066,"GW4284","G12"
"GW4285",-0.265167777179786,-0.0516131620745104,0.250009847064402,"GW4285","G08"
"GW4286",-0.0103111634136777,-0.53112649608102,0.230514904297843,"GW4286","G12"
"GW4293",0.227290774134907,0.289913556975738,0.20488152189086,"GW4293","G15"
"GW4298",-0.340742680792173,0.268594464562585,0.149417807253524,"GW4298","G07"
"GW4299",-0.269987511301357,0.185422688373326,0.0636274196735555,"GW4299","G07"
"GW4301",-0.244242550040405,0.177449741638596,0.0266961491855694,"GW4301","G08"
"GW4305",-0.320620831659182,0.254662141193226,0.111164021778001,"GW4305","G09"
"GW4310",-0.0868472790215757,0.0138711109789753,-0.126320594000104,"GW4310","G07"
"GW4339",0.209834101448623,0.273088315796496,0.199392795455157,"GW4339","G16"
"GW4340",-0.330978996933001,0.260893753889725,0.141810389977622,"GW4340","G04"
"GW4374",-0.00074361442561711,-0.493670967033059,0.186943165769643,"GW4374","G12"
"GW4377",-0.329343325717554,0.231766890112747,0.134904139418515,"GW4377","G03"
"GW4409",-0.298588723610256,0.218497523086429,0.0843699257672494,"GW4409","G04"
"GW4431",-0.0123366512243618,-0.519847688068019,0.216949506050365,"GW4431","G12"
"GW4433",-0.0121746102892685,-0.0807474368841058,-0.185701460437833,"GW4433","G07"
"GW4434",-0.228476350034317,0.143766490477771,0.059392517859242,"GW4434","G08"
"GW4476",8.43583998980445e-05,0.333083031539325,0.22523512236882,"GW4476","G15"
"GW4507",-0.296391951122122,0.181105823212209,0.120994144777351,"GW4507","G04"
"GW5796",-0.267354956042232,0.196045926043015,0.0464342195860104,"GW5796","G12"
